class_name,balanced_original,imbalanced_no_mitigation,imbalanced_weighted_loss,was_downsampled
AnnualCrop,0.8683886838868389,0.8737864077669902,0.8222811671087533,False
Forest,0.9389763779527559,0.9607250755287009,0.926829268292683,False
HerbaceousVegetation,0.7438423645320197,0.8171557562076749,0.8004694835680751,False
Highway,0.954233409610984,0.9582366589327146,0.9315068493150684,False
Industrial,0.8682634730538922,0.8554913294797688,0.8585858585858586,False
Pasture,0.96398891966759,0.9732016925246827,0.9232804232804233,True
PermanentCrop,0.7857142857142857,0.7535853976531942,0.7270642201834863,True
Residential,0.9108204518430439,0.9086595492289442,0.9459148446490219,False
River,0.94,0.9196919691969196,0.9367369589345172,False
SeaLake,0.8866666666666667,0.9117983963344788,0.9377777777777778,False
