,precision,recall,f1-score,support
AnnualCrop,0.8888888888888888,0.64,0.7441860465116279,100.0
Forest,0.5365853658536586,0.66,0.5919282511210763,100.0
HerbaceousVegetation,0.6310679611650486,0.65,0.6403940886699507,100.0
Highway,0.7294117647058823,0.62,0.6702702702702703,200.0
Residential,0.23529411764705882,0.05,0.08247422680412371,400.0
River,0.6867469879518072,0.57,0.6229508196721312,100.0
micro avg,0.6226415094339622,0.396,0.4841075794621027,1000.0
macro avg,0.6179991810353908,0.5316666666666666,0.5587006171748633,1000.0
weighted avg,0.5143289203859402,0.396,0.42698966537318217,1000.0
